id,time,temp_C,humidity,precip_mm,cloud_pct,wind_kph
1,2025-05-01T00:00,5.7,67.0,0.1,100.0,11.3
2,2025-05-01T01:00,,,,,
3,2025-05-01T02:00,,,,,
4,2025-05-01T03:00,,,,,
5,2025-05-01T04:00,,,,,
6,2025-05-01T05:00,,,,,
7,2025-05-01T06:00,,,,,
8,2025-05-01T07:00,,,,,
9,2025-05-01T08:00,,,,,
10,2025-05-01T09:00,,,,,
11,2025-05-01T10:00,,,,,
12,2025-05-01T11:00,,,,,
13,2025-05-01T12:00,,,,,
14,2025-05-01T13:00,,,,,
15,2025-05-01T14:00,,,,,
16,2025-05-01T15:00,,,,,
17,2025-05-01T16:00,,,,,
18,2025-05-01T17:00,,,,,
19,2025-05-01T18:00,,,,,
20,2025-05-01T19:00,,,,,
21,2025-05-01T20:00,,,,,
22,2025-05-01T21:00,,,,,
23,2025-05-01T22:00,,,,,
24,2025-05-01T23:00,,,,,
25,2025-05-02T00:00,,,,,
26,2025-05-02T01:00,,,,,
27,2025-05-02T02:00,,,,,
28,2025-05-02T03:00,,,,,
29,2025-05-02T04:00,,,,,
30,2025-05-02T05:00,,,,,
31,2025-05-02T06:00,,,,,
32,2025-05-02T07:00,,,,,
33,2025-05-02T08:00,,,,,
34,2025-05-02T09:00,,,,,
35,2025-05-02T10:00,,,,,
36,2025-05-02T11:00,,,,,
37,2025-05-02T12:00,,,,,
38,2025-05-02T13:00,,,,,
39,2025-05-02T14:00,,,,,
40,2025-05-02T15:00,,,,,
41,2025-05-02T16:00,,,,,
42,2025-05-02T17:00,,,,,
43,2025-05-02T18:00,,,,,
44,2025-05-02T19:00,,,,,
45,2025-05-02T20:00,,,,,
46,2025-05-02T21:00,,,,,
47,2025-05-02T22:00,,,,,
48,2025-05-02T23:00,,,,,
