time,temperature_2m,relative_humidity_2m,precipitation,cloudcover,windspeed_10m
2025-05-01T00:00,5.7,67.0,0.1,100.0,11.3
2025-05-01T01:00,,,,,
2025-05-01T02:00,,,,,
2025-05-01T03:00,,,,,
2025-05-01T04:00,,,,,
2025-05-01T05:00,,,,,
2025-05-01T06:00,,,,,
2025-05-01T07:00,,,,,
2025-05-01T08:00,,,,,
2025-05-01T09:00,,,,,
2025-05-01T10:00,,,,,
2025-05-01T11:00,,,,,
2025-05-01T12:00,,,,,
2025-05-01T13:00,,,,,
2025-05-01T14:00,,,,,
2025-05-01T15:00,,,,,
2025-05-01T16:00,,,,,
2025-05-01T17:00,,,,,
2025-05-01T18:00,,,,,
2025-05-01T19:00,,,,,
2025-05-01T20:00,,,,,
2025-05-01T21:00,,,,,
2025-05-01T22:00,,,,,
2025-05-01T23:00,,,,,
2025-05-02T00:00,,,,,
2025-05-02T01:00,,,,,
2025-05-02T02:00,,,,,
2025-05-02T03:00,,,,,
2025-05-02T04:00,,,,,
2025-05-02T05:00,,,,,
2025-05-02T06:00,,,,,
2025-05-02T07:00,,,,,
2025-05-02T08:00,,,,,
2025-05-02T09:00,,,,,
2025-05-02T10:00,,,,,
2025-05-02T11:00,,,,,
2025-05-02T12:00,,,,,
2025-05-02T13:00,,,,,
2025-05-02T14:00,,,,,
2025-05-02T15:00,,,,,
2025-05-02T16:00,,,,,
2025-05-02T17:00,,,,,
2025-05-02T18:00,,,,,
2025-05-02T19:00,,,,,
2025-05-02T20:00,,,,,
2025-05-02T21:00,,,,,
2025-05-02T22:00,,,,,
2025-05-02T23:00,,,,,
